,subdivision,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Decade Population,Flood Count
0,andhra pradesh,1951,1.2,0.0,27.9,46.1,75.4,133.7,285.2,186.5,174.1,89.7,74.2,2.2,1096.1,1.2,149.4,779.4,166.1,31115000,0
1,andhra pradesh,1952,0.0,17.4,12.2,28.8,94.2,87.4,130.1,128.8,130.2,251.8,0.0,35.7,916.7,17.4,135.2,476.5,287.5,31115000,0
2,andhra pradesh,1953,13.2,0.6,0.0,21.5,43.4,136.7,149.6,190.6,183.7,234.8,15.6,0.3,990.0,13.8,64.9,660.6,250.7,31115000,0
3,andhra pradesh,1954,0.3,0.0,9.0,8.0,37.5,129.7,218.5,205.7,266.5,263.0,0.0,15.3,1153.5,0.3,54.5,820.4,278.4,31115000,0
4,andhra pradesh,1955,5.1,0.3,18.6,14.2,250.1,118.8,128.9,263.6,177.0,325.9,76.2,0.3,1378.9,5.4,282.9,688.2,402.4,31115000,0
5,andhra pradesh,1956,4.2,3.2,0.5,28.6,89.1,210.1,305.2,163.7,209.3,331.1,60.9,2.7,1408.5,7.5,118.1,888.3,394.7,31115000,0
6,andhra pradesh,1957,0.7,1.8,21.2,14.3,28.3,152.6,149.5,298.1,198.8,125.5,26.9,0.0,1017.6,2.5,63.7,799.0,152.4,31115000,0
7,andhra pradesh,1958,7.4,1.8,10.7,17.5,40.9,108.5,281.4,245.6,215.9,527.2,148.4,0.1,1605.3,9.2,69.1,851.3,675.7,31115000,0
8,andhra pradesh,1959,5.8,10.7,0.0,14.7,11.5,178.8,272.3,230.9,161.1,227.3,2.6,5.0,1120.7,16.4,26.3,843.1,234.9,31115000,0
9,andhra pradesh,1960,1.4,0.2,25.1,1.3,18.3,167.8,196.4,92.5,287.3,108.8,24.3,20.3,943.6,1.6,44.7,743.9,153.4,31115000,0
10,andhra pradesh,1961,9.6,28.4,2.3,9.0,44.4,138.6,199.8,172.9,181.2,282.3,48.7,2.1,1119.2,37.9,55.7,692.5,333.2,35983480,0
11,andhra pradesh,1962,3.7,8.7,0.9,34.6,69.6,121.1,231.3,179.1,288.1,357.6,35.8,15.0,1345.5,12.3,105.1,819.6,408.5,35983480,0
12,andhra pradesh,1963,0.0,0.0,7.0,50.2,23.5,126.6,137.4,176.1,131.3,371.7,0.1,0.0,1023.9,0.0,80.7,571.4,371.8,35983480,0
13,andhra pradesh,1964,0.7,11.2,1.1,6.0,33.5,116.9,170.1,226.4,353.6,76.2,64.6,0.7,1061.0,11.9,40.6,867.0,141.5,35983480,1
14,andhra pradesh,1965,1.4,1.2,7.1,35.4,36.7,52.0,166.3,157.5,208.1,61.3,25.0,2.3,754.2,2.6,79.2,583.9,88.6,35983480,0
15,andhra pradesh,1966,40.1,1.2,5.0,8.6,22.8,107.1,243.3,163.9,128.7,66.5,146.6,20.9,954.7,41.3,36.3,643.1,234.0,35983480,0
16,andhra pradesh,1967,13.1,0.1,71.8,18.6,19.7,124.3,245.6,124.6,141.5,27.9,4.6,51.4,843.1,13.1,110.1,635.9,84.0,35983480,0
17,andhra pradesh,1968,11.3,11.8,13.6,42.9,28.0,70.8,170.2,45.5,164.8,197.2,78.1,4.8,838.9,23.1,84.4,451.3,280.0,35983480,0
18,andhra pradesh,1969,0.2,0.4,2.7,5.6,262.6,125.1,192.4,99.8,122.7,208.0,201.7,58.5,1279.7,0.7,270.8,540.0,468.2,35983480,0
19,andhra pradesh,1970,0.9,9.7,22.3,18.7,95.0,174.0,182.5,243.5,133.3,183.3,0.8,0.0,1064.2,10.6,136.0,733.4,184.1,35983480,0
20,andhra pradesh,1971,1.0,26.4,12.7,104.1,88.3,86.4,99.8,205.3,222.0,186.2,1.0,0.0,1033.2,27.4,205.1,613.5,187.2,43502710,0
21,andhra pradesh,1972,0.0,32.5,0.0,32.1,20.7,125.1,121.3,80.8,191.6,324.2,86.8,13.3,1028.5,32.5,52.8,518.8,424.4,43502710,0
22,andhra pradesh,1973,0.0,0.4,12.0,1.1,45.2,73.3,158.6,178.4,132.5,233.7,23.5,0.3,859.1,0.4,58.3,542.9,257.5,43502710,0
23,andhra pradesh,1974,0.1,1.5,11.2,12.9,34.9,120.4,126.3,132.8,194.3,274.2,36.3,0.0,944.9,1.6,59.1,573.8,310.5,43502710,0
24,andhra pradesh,1975,0.2,10.5,0.3,2.6,33.5,200.7,154.2,210.9,230.8,300.8,47.6,0.3,1192.4,10.7,36.4,796.5,348.7,43502710,0
25,andhra pradesh,1976,0.0,1.1,2.7,22.7,36.9,78.4,199.0,228.8,92.2,81.3,345.9,1.1,1090.3,1.1,62.3,598.5,428.4,43502710,0
26,andhra pradesh,1977,1.5,0.0,1.2,62.5,102.4,112.5,149.7,176.8,112.3,121.0,289.9,3.0,1132.8,1.5,166.1,551.2,413.9,43502710,0
27,andhra pradesh,1978,9.1,18.0,12.2,29.4,19.0,166.7,193.1,258.5,194.2,77.8,54.2,6.0,1038.3,27.1,60.6,812.5,138.1,43502710,0
28,andhra pradesh,1979,0.6,30.2,0.1,15.2,125.1,108.7,97.3,95.5,233.2,52.2,160.6,15.5,934.1,30.7,140.4,534.6,228.3,43502710,0
29,andhra pradesh,1980,0.5,2.4,5.6,16.1,31.5,217.5,169.3,176.7,128.0,205.0,48.4,13.8,1014.8,2.9,53.2,691.5,267.2,43502710,0
