UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage ,Event Source,Event Souce ID,year
UEI-EM-DAT-FL-1980-0004,/09/1980,/09/1980,Diffing the dates,,['Orissa'],,,,,,,,,,,,,EM-DAT,1980-0085,1980
UEI-EM-DAT-FL-1982-0001,/08/1982,/08/1982,Diffing the dates,,['Northeast'],,,,,,,,,,,,,EM-DAT,1982-0087,1982
UEI-EM-DAT-FL-1982-0002,/06/1982,/06/1982,Diffing the dates,,['North-East region'],,,,,,,,,,,,,EM-DAT,1982-0314,1982
UEI-EM-DAT-FL-1983-0001,/07/1983,/07/1983,Diffing the dates,,"['Upper Assama', ' Central Sikkim']",,,,,,,,,,,,,EM-DAT,1983-0089,1983
UEI-EM-DAT-FL-1983-0002,/08/1983,/08/1983,Diffing the dates,,['Central - Western'],,,,,,,,,,,,,EM-DAT,1983-0102,1983
UEI-EM-DAT-FL-1983-0003,/12/1983,/12/1983,Diffing the dates,,['Tamil Nadu'],,,,,,,,,,,,,EM-DAT,1983-0153,1983
UEI-EM-DAT-FL-1984-0001,/05/1984,/05/1984,Diffing the dates,,['North-East states'],,,,,,,,,,,,,EM-DAT,1984-0040,1984
UEI-EM-DAT-FL-1984-0002,1984-06-25,1984-06-25,0,,"['West Bengal', ' Uttar Pradesh', ' Assam', ' Bihar']",,,,,,,,,,,,,EM-DAT,1984-0318,1984
UEI-EM-DAT-FL-1984-0003,1984-08-16,1984-08-16,0,Flash flood,['Ladakh area'],,,,,,,,,,,,,EM-DAT,1984-0322,1984
UEI-EM-DAT-FL-1984-0004,/08/1984,/08/1984,Diffing the dates,,"['W Bengal', ' Uttar Pradesh & Orissa']",,,,,,,,,,,,,EM-DAT,1984-0323,1984
UEI-EM-DAT-FL-1984-0005,/09/1984,/09/1984,Diffing the dates,,['North-East region'],,,,,,,,,,,,,EM-DAT,1984-0325,1984
UEI-EM-DAT-FL-1985-0001,/06/1985,/06/1985,Diffing the dates,,['Punjab (Western)'],,,,,,,,,,,,,EM-DAT,1985-0067,1985
UEI-EM-DAT-FL-1985-0002,/06/1985,/06/1985,Diffing the dates,,"['Uttar Pradesh', '  West Bengal', ' Punjab (North', ' North-West', ' East India)']",,,,,,,,,,,,,EM-DAT,1985-0068,1985
UEI-EM-DAT-FL-1985-0003,1985-11-12,1985-11-12,0,,['Tamil Nadu'],,,,,,,,,,,,,EM-DAT,1985-0131,1985
UEI-EM-DAT-FL-1985-0004,/09/1985,/09/1985,Diffing the dates,Riverine flood,"['Uttar Pradesh', ' Bihar']",,,,,,,,,,,,,EM-DAT,1985-0317,1985
UEI-EM-DAT-FL-1985-0005,1985-06-23,1985-06-23,0,Riverine flood,"['Kerala', ' Assam', ' Bombay', ' Karnataka', ' Goa states']",,,,,,,,,,,,,EM-DAT,1985-0343,1985
UEI-EM-DAT-FL-1986-0001,/08/1986,/08/1986,Diffing the dates,Riverine flood,['Andhra Pradesh'],,,,,,,,,,,,,EM-DAT,1986-0085,1986
UEI-EM-DAT-FL-1987-0001,/08/1987,/08/1987,Diffing the dates,Riverine flood,"['Assam', ' Bihar', ' West Bengal']",,,,,,,,,,,,,EM-DAT,1987-0137,1987
UEI-EM-DAT-FL-1987-0002,/05/1987,/05/1987,Diffing the dates,,[' Cachemire'],,,,,,,,,,,,,EM-DAT,1987-0386,1987
UEI-EM-DAT-FL-1987-0003,1987-07-09,1987-07-09,0,,[' Andhra Pradesh'],,,,,,,,,,,,,EM-DAT,1987-0394,1987
UEI-EM-DAT-FL-1987-0004,1987-09-18,1987-09-18,0,,['Uttar Pradesh'],,,,,,,,,,,,,EM-DAT,1987-0410,1987
UEI-EM-DAT-FL-1988-0001,/06/1988,/06/1988,Diffing the dates,Riverine flood,"['Bihar', ' West Bengal', ' Assam']",,,,,,,,,,,,,EM-DAT,1988-0244,1988
UEI-EM-DAT-FL-1988-0002,1988-09-22,1988-10-09,17,Riverine flood,"['Punjab', ' Himachal Pradesh', ' Haryana', ' Jamuu and Kashmir', ' Delhi']",,,,,,,,,,,,,EM-DAT,1988-0438,1988
UEI-EM-DAT-FL-1988-0003,/08/1988,/08/1988,Diffing the dates,,"['Uttar Pradesh', ' Assam', ' Bihar', ' West Bengal', ' Arunachal Pradesh']",,,,,,,,,,,,,EM-DAT,1988-0703,1988
